-> ulimit -n 100000
-> go run -exec sudo ./cmd/utrace -executable /home/matt/github/utrace/tracee/tracee |tee log.txt

could not attach uprobe to symbol runtime.etext: creating perf_uprobe PMU: symbol 'runtime.etext' not found: file does not exist
attached 1021 uprobes
_rt0_amd64_linux 1 460867170837288 12093112719829
_rt0_amd64 1 460867170837288 12093112725359
runtime.rt0_go.abi0 1 460867170837288 12093112732987
runtime.settls.abi0 1 460867170837288 12093112737817
runtime.check.abi0 1 460867170837288 12093112740845
runtime.check 1 460867170837288 12093112743001
runtime.testAtomic64 1 460867170837288 12093112745300
runtime.checkASM.abi0 1 460867170837288 12093112747487
runtime.args.abi0 1 460867170837288 12093112749650
runtime.args 1 460867170837288 12093112751775
runtime.sysargs 1 460867170837288 12093112754191
runtime.sysauxv 1 460867170837288 12093112757786
runtime.vdsoauxv 1 460867170837288 12093112759982
runtime.vdsoInitFromSysinfoEhdr 1 460867170837288 12093112762109
runtime.vdsoFindVersion 1 460867170837288 12093112766113
runtime.findnull 1 460867170837288 12093112770624
internal/bytealg.IndexByteString.abi0 1 460867170837288 12093112772917
indexbytebody 1 460867170837288 12093112774991
runtime.memequal 1 460867170837288 12093112778319
memeqbody 1 460867170837288 12093112780346
runtime.vdsoParseSymbols 1 460867170837288 12093112786359
runtime.vdsoParseSymbols.func1 1 460867170837288 12093112788320
runtime.findnull 1 460867170837288 12093112790283
internal/bytealg.IndexByteString.abi0 1 460867170837288 12093112792206
indexbytebody 1 460867170837288 12093112794077
runtime.memequal 1 460867170837288 12093112795922
memeqbody 1 460867170837288 12093112797820
runtime.vdsoParseSymbols.func1 1 460867170837288 12093112799974
runtime.findnull 1 460867170837288 12093112801857
internal/bytealg.IndexByteString.abi0 1 460867170837288 12093112803668
indexbytebody 1 460867170837288 12093112805637
runtime.memequal 1 460867170837288 12093112807532
memeqbody 1 460867170837288 12093112809542
runtime.vdsoauxv 1 460867170837288 12093112812506
runtime.vdsoauxv 1 460867170837288 12093112814795
runtime.vdsoauxv 1 460867170837288 12093112816937
runtime.vdsoauxv 1 460867170837288 12093112818940
runtime.vdsoauxv 1 460867170837288 12093112821479
runtime.vdsoauxv 1 460867170837288 12093112824036
runtime.vdsoauxv 1 460867170837288 12093112826271
runtime.vdsoauxv 1 460867170837288 12093112828731
runtime.vdsoauxv 1 460867170837288 12093112830881
runtime.vdsoauxv 1 460867170837288 12093112833222
runtime.vdsoauxv 1 460867170837288 12093112835655
runtime.vdsoauxv 1 460867170837288 12093112837608
runtime.vdsoauxv 1 460867170837288 12093112839742
runtime.vdsoauxv 1 460867170837288 12093112842117
runtime.vdsoauxv 1 460867170837288 12093112844209
runtime.vdsoauxv 1 460867170837288 12093112846654
runtime.vdsoauxv 1 460867170837288 12093112848748
runtime.vdsoauxv 1 460867170837288 12093112851180
runtime.vdsoauxv 1 460867170837288 12093112853588
runtime.osinit.abi0 1 460867170837288 12093112856251
runtime.osinit 1 460867170837288 12093112859080
runtime.getproccount 1 460867170837288 12093112862166
runtime.sched_getaffinity.abi0 1 460867170837288 12093112867850
runtime.getHugePageSize 1 460867170837288 12093112872470
runtime.open.abi0 1 460867170837288 12093112875611
runtime.read.abi0 1 460867170837288 12093112895580
runtime.closefd.abi0 1 460867170837288 12093112904555
runtime.atoi 1 460867170837288 12093112910290
runtime.schedinit.abi0 1 460867170837288 12093112913033
runtime.schedinit 1 460867170837288 12093112915563
runtime.moduledataverify1 1 460867170837288 12093112918666
runtime.stackinit 1 460867170837288 12093112937186
runtime.mallocinit 1 460867170837288 12093112943988
runtime.testdefersizes 1 460867170837288 12093112946832
runtime.(*mheap).init 1 460867170837288 12093112953136
runtime.(*pageAlloc).init 1 460867170837288 12093112968166
runtime.(*addrRanges).init 1 460867170837288 12093112971376
runtime.persistentalloc 1 460867170837288 12093112974580
runtime.systemstack.abi0 1 460867170837288 12093112984434
runtime.persistentalloc.func1 1 460867170837288 12093112987137
runtime.persistentalloc1 1 460867170837288 12093112990158
runtime.lock2 1 460867170837288 12093112993113
runtime.sysAlloc 1 460867170837288 12093112995845
runtime.mmap 1 460867170837288 12093112998666
runtime.sysMmap.abi0 1 460867170837288 12093113001348
runtime.(*sysMemStat).add 1 460867170837288 12093113006840
runtime.unlock2 1 460867170837288 12093113021736
runtime.(*sysMemStat).add 1 460867170837288 12093113029234
runtime.(*sysMemStat).add 1 460867170837288 12093113031305
runtime.(*pageAlloc).sysInit 1 460867170837288 12093113034905
runtime.mmap 1 460867170837288 12093113037499
runtime.sysMmap.abi0 1 460867170837288 12093113039899
runtime.mmap 1 460867170837288 12093113048685
runtime.sysMmap.abi0 1 460867170837288 12093113055620
runtime.mmap 1 460867170837288 12093113059524
runtime.sysMmap.abi0 1 460867170837288 12093113061870
runtime.mmap 1 460867170837288 12093113065029
runtime.sysMmap.abi0 1 460867170837288 12093113067178
runtime.mmap 1 460867170837288 12093113070039
runtime.sysMmap.abi0 1 460867170837288 12093113072333
runtime.allocmcache 1 460867170837288 12093113075903
runtime.systemstack.abi0 1 460867170837288 12093113078205
runtime.allocmcache.func1 1 460867170837288 12093113081128
runtime.lock2 1 460867170837288 12093113083767
runtime.(*fixalloc).alloc 1 460867170837288 12093113086636
runtime.persistentalloc 1 460867170837288 12093113089043
runtime.systemstack.abi0 1 460867170837288 12093113091661
runtime.persistentalloc.func1 1 460867170837288 12093113094074
runtime.persistentalloc1 1 460867170837288 12093113096499
runtime.lock2 1 460867170837288 12093113098930
